ID,Year,Month,Day,Lunar_Year,Lunar_Month,Lunar_Day,Holiday,Totall_Holiday,Temperature_Up,Temperature_Down,Weather,visitor_count
315,2011,11,22,2011,10,27,0,0,16,7,2.1,4212
316,2011,11,23,2011,10,28,0,0,15,3,1,4237
317,2011,11,24,2011,10,29,0,0,16,4,1,4197
318,2011,11,25,2011,11,1,0,0,18,3,1,4190
319,2011,11,26,2011,11,2,1,2,18,3,1,4280
320,2011,11,27,2011,11,3,2,2,18,6,1,3407
321,2011,11,28,2011,11,4,0,0,18,8,1.2,3132
322,2011,11,29,2011,11,5,0,0,16,8,4.5,2801
323,2011,11,30,2011,11,6,0,0,13,5,2,2386
324,2011,12,1,2011,11,7,0,0,15,6,1,2715
325,2011,12,2,2011,11,8,0,0,12,5,1,2635
326,2011,12,3,2011,11,9,1,2,13,0,2,3052
327,2011,12,4,2011,11,10,2,2,10,3,4.2,3063
328,2011,12,5,2011,11,11,0,0,10,5,2,2165
329,2011,12,6,2011,11,12,0,0,11,4,2,2060
330,2011,12,7,2011,11,13,0,0,7,2,2,2154
331,2011,12,8,2011,11,14,0,0,11,3,2,2425
332,2011,12,9,2011,11,15,0,0,9,1,2.4,1849
333,2011,12,10,2011,11,16,1,2,9,1,5.4,2011
334,2011,12,11,2011,11,17,2,2,7,-1,5,2010
335,2011,12,12,2011,11,18,0,0,12,-2,2,1756
336,2011,12,13,2011,11,19,0,0,8,0,2,1834
337,2011,12,14,2011,11,20,0,0,9,-1,2,1802
338,2011,12,15,2011,11,21,0,0,8,-3,2,1732
339,2011,12,16,2011,11,22,0,0,10,0,2,1553
340,2011,12,17,2011,11,23,1,2,8,1,4.2,1965
341,2011,12,18,2011,11,24,2,2,8,0,2,1692
342,2011,12,19,2011,11,25,0,0,11,-1,2,1498
343,2011,12,20,2011,11,26,0,0,10,1,2,1181
344,2011,12,21,2011,11,27,0,0,12,1,3.1,1454
345,2011,12,22,2011,11,28,0,0,12,-1,2.1,1447
346,2011,12,23,2011,11,29,0,0,8,0,1,1369
347,2011,12,24,2011,11,30,1,2,6,-4,2,1645
348,2011,12,25,2011,12,1,2,2,7,-2,2,1527
349,2011,12,26,2011,12,2,0,0,8,-1,1.2,1346
350,2011,12,27,2011,12,3,0,0,8,0,1,1384
351,2011,12,28,2011,12,4,0,0,10,2,1.2,1097
352,2011,12,29,2011,12,5,0,0,9,2,1.2,1224
353,2011,12,30,2011,12,6,0,0,9,2,1.2,1046
354,2011,12,31,2011,12,7,0,0,9,-3,1.2,968
355,2012,1,1,2011,12,8,1,3,10,1,2,2205
356,2012,1,2,2011,12,9,2,3,9,-4,4.5,2609
357,2012,1,3,2011,12,10,3,3,4,-2,4,875
358,2012,1,4,2011,12,11,0,0,2,-4,2,557
359,2012,1,5,2011,12,12,0,0,4,-4,2,508
360,2012,1,6,2011,12,13,0,0,5,-2,2,598
361,2012,1,7,2011,12,14,1,2,6,-1,2,668
362,2012,1,8,2011,12,15,2,2,8,-4,1,1126
363,2012,1,9,2011,12,16,0,0,6,-1,2.4,576
364,2012,1,10,2011,12,17,0,0,4,1,2.4,405
365,2012,1,11,2011,12,18,0,0,7,-1,2,524
366,2012,1,12,2011,12,19,0,0,6,-2,1.2,360
367,2012,1,13,2011,12,20,0,0,5,-2,4,355
368,2012,1,14,2011,12,21,1,2,3,-1,4.1,930
369,2012,1,15,2011,12,22,2,2,8,0,2,502
370,2012,1,16,2011,12,23,0,0,11,0,1.2,631
371,2012,1,17,2011,12,24,0,0,3,-1,2.4,766
372,2012,1,18,2011,12,25,0,0,5,-2,2.4,566
373,2012,1,19,2011,12,26,0,0,8,-1,4,411
374,2012,1,20,2011,12,27,0,0,5,0,4,332
375,2012,1,21,2011,12,28,0,0,2,-2,4.2,413
376,2012,1,22,2011,12,29,1,7,6,-2,2,613
377,2012,1,23,2012,1,1,2,7,5,-3,3.5,880
378,2012,1,24,2012,1,2,3,7,4,-2,4.2,2033
379,2012,1,25,2012,1,3,4,7,6,-7,2,3637
380,2012,1,26,2012,1,4,5,7,5,-4,2,4297
381,2012,1,27,2012,1,5,6,7,5,-4,2,3504
382,2012,1,28,2012,1,6,7,7,4,0,2,2584
383,2012,1,29,2012,1,7,0,0,5,0,4.2,2139
384,2012,1,30,2012,1,8,0,0,10,0,3.1,1532
385,2012,1,31,2012,1,9,0,0,10,-2,1.2,1637
386,2012,2,1,2012,1,10,0,0,12,0,2.4,1496
